steps: 10000
rand_range: (-0.05, 0.05)


Expression || Steps without change || Distance to next change || Distance since start || Norm || Is Unique || Coordinates
sin(sin(X)) || 0 || 0.34069404006004333 || 9.999260902404785 || 11.349905967712402 || False || None
sin(sin(X/X)) || 2 || 0.6453352570533752 || 10.060351371765137 || 11.381731033325195 || False || None
sin(sin(X)) || 0 || 0.28698277473449707 || 10.009906768798828 || 11.342427253723145 || False || None
sin(sin(X/X)) || 0 || 0.2910362482070923 || 9.928223609924316 || 11.24538803100586 || False || None
sin(sin(X)) || 0 || 0.2766837179660797 || 9.96434497833252 || 11.336481094360352 || False || None
sin(sin(X/X)) || 6 || 0.7238385081291199 || 10.030308723449707 || 11.378621101379395 || False || None
(sin(X/X))^5 || 15 || 1.1445752382278442 || 9.964265823364258 || 11.356614112854004 || True || None
(sin(X))^5 || 0 || 0.23624777793884277 || 9.664813995361328 || 11.176911354064941 || False || None
(sin(X/X))^5 || 14 || 1.1477923393249512 || 9.633370399475098 || 11.11728286743164 || False || None
sin(sin(X/X)) || 70 || 2.4858880043029785 || 9.692599296569824 || 11.001309394836426 || False || None
sin(sin(sqrt(X))) || 0 || 0.2639678418636322 || 9.893196105957031 || 10.720728874206543 || True || None
sin(sin(X/X)) || 0 || 0.29325249791145325 || 9.859073638916016 || 10.757819175720215 || False || None
sin(sin(sqrt(X))) || 0 || 0.3288342356681824 || 9.883793830871582 || 10.853022575378418 || False || None
sin(sin(X/X)) || 0 || 0.2827284038066864 || 9.89281940460205 || 10.848525047302246 || False || None
sin(sin(X)) || 5 || 0.7740818858146667 || 9.94929313659668 || 10.875843048095703 || False || None
sin(sin(sqrt(X))) || 17 || 1.2237497568130493 || 9.820043563842773 || 10.869070053100586 || False || None
(sin(sqrt(X)))^5 || 0 || 0.287325382232666 || 9.86512565612793 || 10.712170600891113 || True || None
sin(sin(sqrt(X))) || 0 || 0.30075374245643616 || 9.87864875793457 || 10.72079849243164 || False || None
(sin(sqrt(X)))^5 || 0 || 0.30195170640945435 || 9.88113021850586 || 10.767767906188965 || False || None
sin(sin(sqrt(X))) || 0 || 0.2756297290325165 || 9.919319152832031 || 10.832721710205078 || False || None
(sin(sqrt(X)))^5 || 6 || 0.7004770636558533 || 9.996045112609863 || 10.847635269165039 || False || None
sin(sin(sqrt(X))) || 1 || 0.3431892693042755 || 10.183216094970703 || 10.965828895568848 || False || None
(sin(sqrt(X)))^5 || 23 || 1.214555263519287 || 10.12844181060791 || 10.956488609313965 || False || None
sin(sin(sqrt(X))) || 19 || 1.1646569967269897 || 10.458279609680176 || 11.362427711486816 || False || None
sin(sin(sqrt(X/X))) || 0 || 0.2998327314853668 || 10.357891082763672 || 11.033675193786621 || True || None
sin(sin(sqrt(X))) || 0 || 0.24929140508174896 || 10.319307327270508 || 11.016407012939453 || False || None
sin(sin(sqrt(X/X))) || 138 || 3.0195839405059814 || 10.304801940917969 || 11.003061294555664 || False || None
sin(sin(sqrt(X))) || 0 || 0.24414168298244476 || 10.500770568847656 || 11.314835548400879 || False || None
sin(sin(sqrt(X/X))) || 6 || 0.7138057947158813 || 10.471013069152832 || 11.318360328674316 || False || None
sin(sqrt(sqrt(X/X))) || 2 || 0.4253807067871094 || 10.370925903320312 || 11.229194641113281 || True || None
sin(sin(sqrt(X/X))) || 2 || 0.5788674354553223 || 10.359195709228516 || 11.134343147277832 || False || None
sin(sin(sqrt(sqrt(X)))) || 0 || 0.2596430480480194 || 10.451081275939941 || 11.324365615844727 || True || None
sin(sin(sqrt(X/X))) || 0 || 0.3200640380382538 || 10.445711135864258 || 11.290468215942383 || False || None
sin(sqrt(sqrt(X/X))) || 0 || 0.3731408417224884 || 10.36681079864502 || 11.249527931213379 || False || None
sin(sin(sqrt(X/X))) || 0 || 0.2965596914291382 || 10.308629035949707 || 11.198803901672363 || False || None
sin(sqrt(sqrt(X/X))) || 1 || 0.3649749159812927 || 10.276993751525879 || 11.186163902282715 || False || None
sin(sqrt(sqrt(X))) || 2 || 0.4754010736942291 || 10.226531028747559 || 11.143471717834473 || True || None
sin(sin(sqrt(X))) || 0 || 0.3097067177295685 || 10.277040481567383 || 11.197853088378906 || False || None
sin(sin(sqrt(X/X))) || 10 || 0.9245418310165405 || 10.270278930664062 || 11.214118957519531 || False || None
sin(sqrt(sqrt(X/X))) || 9 || 0.9862489104270935 || 10.319758415222168 || 11.250131607055664 || False || None
sin(sin(sqrt(X/X))) || 0 || 0.3152095377445221 || 10.270380020141602 || 11.050459861755371 || False || None
sin(sqrt(sqrt(X/X))) || 0 || 0.2899949848651886 || 10.358474731445312 || 11.153695106506348 || False || None
sin(sqrt(sqrt(X))) || 1 || 0.4202043414115906 || 10.371814727783203 || 11.163661003112793 || False || None
sin(sin(sqrt(X/X))) || 0 || 0.28209081292152405 || 10.447858810424805 || 11.20876693725586 || False || None
(sin(sqrt(sqrt(X))))^5 || 2 || 0.4742821753025055 || 10.41978931427002 || 11.165445327758789 || True || None
sin(sin(sqrt(X/X))) || 0 || 0.3196064233779907 || 10.269719123840332 || 11.059043884277344 || False || None
sin(sin(sqrt(X))) || 0 || 0.28376102447509766 || 10.242331504821777 || 11.027332305908203 || False || None
sin(sin(sqrt(X/X))) || 1 || 0.3333300054073334 || 10.21969985961914 || 11.001326560974121 || False || None
sin(sin(sqrt(X))) || 1 || 0.3161992132663727 || 10.2772216796875 || 11.034608840942383 || False || None
sin(sin(sqrt(X/X))) || 0 || 0.24775764346122742 || 10.299105644226074 || 11.055747985839844 || False || None
sin(sin(sqrt(sqrt(X)))) || 1 || 0.4367968738079071 || 10.310223579406738 || 11.078414916992188 || False || None
(sin(sqrt(sqrt(X))))^5 || 1 || 0.36068469285964966 || 10.358027458190918 || 11.131173133850098 || False || None
sin(sin(sqrt(sqrt(X)))) || 0 || 0.3346903324127197 || 10.471185684204102 || 11.202269554138184 || False || None
(sin(sqrt(sqrt(X))))^5 || 4 || 0.6580213308334351 || 10.395960807800293 || 11.152321815490723 || False || None
(sin(sqrt(X)))^5 || 0 || 0.26203295588493347 || 10.447796821594238 || 11.173408508300781 || False || None
(sin(sqrt(sqrt(X))))^5 || 1 || 0.4431460499763489 || 10.399482727050781 || 11.177017211914062 || False || None
(sin(sqrt(X)))^5 || 40 || 1.2905033826828003 || 10.368236541748047 || 11.166946411132812 || False || None
(sqrt(sqrt(X)))^5 || 0 || 0.27574723958969116 || 10.043614387512207 || 10.726122856140137 || True || None
(sin(sqrt(X)))^5 || 58 || 2.688880681991577 || 10.01905632019043 || 10.672243118286133 || False || None
(sin(sqrt(sqrt(X))))^5 || 0 || 0.2558732330799103 || 10.822073936462402 || 11.575961112976074 || False || None
(sin(sqrt(X)))^5 || 6 || 0.7487480640411377 || 10.769394874572754 || 11.577203750610352 || False || None
(sin(sqrt(sqrt(X))))^5 || 1 || 0.36067333817481995 || 10.930337905883789 || 11.621211051940918 || False || None
(sin(sqrt(X^3)))^5 || 0 || 0.28111475706100464 || 11.046875 || 11.669327735900879 || True || None
(sin(sqrt(X/X)))^5 || 1 || 0.3477240204811096 || 10.978658676147461 || 11.5751371383667 || True || None
(sin(sqrt(sqrt(X))))^5 || 2 || 0.4674002230167389 || 11.104473114013672 || 11.691255569458008 || False || None
(sin(sqrt(X/X)))^5 || 1 || 0.383169561624527 || 11.232470512390137 || 11.866357803344727 || False || None
(sin(sqrt(X)))^5 || 1 || 0.36758995056152344 || 11.219014167785645 || 11.839232444763184 || False || None
(sin(sqrt(sqrt(X))))^5 || 2 || 0.4820847809314728 || 11.223819732666016 || 11.853339195251465 || False || None
(sin(sqrt(X/X)))^5 || 3 || 0.5348674654960632 || 11.244155883789062 || 11.878315925598145 || False || None
(sin(sqrt(X)))^5 || 3 || 0.5917354226112366 || 11.331594467163086 || 11.853975296020508 || False || None
(sin(sqrt(X/X)))^5 || 8 || 0.8724122047424316 || 11.281108856201172 || 11.765777587890625 || False || None
(sin(sqrt(X)))^5 || 0 || 0.2768717110157013 || 11.382028579711914 || 11.857735633850098 || False || None
(sin(sqrt(X/X)))^5 || 0 || 0.26726892590522766 || 11.400195121765137 || 11.884112358093262 || False || None
(sin(sqrt(X)))^5 || 3 || 0.6656410694122314 || 11.379057884216309 || 11.85501480102539 || False || None
(sin(sqrt(sqrt(X))))^5 || 0 || 0.3512817919254303 || 11.541446685791016 || 12.057256698608398 || False || None
(sin(sqrt(log(X))))^5 || 0 || 0.2812736928462982 || 11.552101135253906 || 12.083763122558594 || True || None
(sin(sqrt(X^3)))^5 || 3 || 0.5725213885307312 || 11.598795890808105 || 12.13249397277832 || False || None
(sin(sqrt(sqrt(X))))^5 || 1 || 0.2882440686225891 || 11.554344177246094 || 12.084227561950684 || False || None
(sin(sqrt(log(X))))^5 || 1 || 0.4085898697376251 || 11.525940895080566 || 12.046065330505371 || False || None
(sin(sqrt(X^3)))^5 || 0 || 0.2746877372264862 || 11.603717803955078 || 12.123581886291504 || False || None
(sin(sqrt(sqrt(X))))^5 || 0 || 0.25087103247642517 || 11.540419578552246 || 12.113418579101562 || False || None
(sqrt(sqrt(sqrt(X))))^5 || 0 || 0.2498892843723297 || 11.486978530883789 || 12.08092975616455 || True || None
(sqrt(sqrt(X^3)))^5 || 2 || 0.4909178912639618 || 11.555864334106445 || 12.125847816467285 || True || None
(sqrt(sqrt(log(X))))^5 || 0 || 0.3009127676486969 || 11.642706871032715 || 12.145862579345703 || True || None
(sqrt(sqrt(X^3)))^5 || 2 || 0.41900479793548584 || 11.653788566589355 || 12.179805755615234 || False || None
(sqrt(sqrt(log(X))))^5 || 1 || 0.4310155510902405 || 11.774615287780762 || 12.232556343078613 || False || None
(sqrt(sqrt(X^3)))^5 || 0 || 0.21755309402942657 || 11.945404052734375 || 12.416962623596191 || False || None
(sqrt(sqrt(sqrt(X))))^5 || 1 || 0.36626532673835754 || 11.954477310180664 || 12.406726837158203 || False || None
(sqrt(sqrt(log(X))))^5 || 0 || 0.2969627380371094 || 11.990745544433594 || 12.454208374023438 || False || None
(sqrt(sqrt(X^3)))^5 || 1 || 0.410543829202652 || 12.087241172790527 || 12.54052734375 || False || None
(sqrt(sqrt(sqrt(X))))^5 || 2 || 0.5533120036125183 || 12.07802677154541 || 12.56387996673584 || False || None
(sqrt(sqrt(X^3)))^5 || 0 || 0.2769121527671814 || 12.107515335083008 || 12.587579727172852 || False || None
(sqrt(sqrt(sqrt(X))))^5 || 4 || 0.6642220616340637 || 12.2275390625 || 12.713600158691406 || False || None
(sin(sqrt(sqrt(X))))^5 || 4 || 0.48791301250457764 || 12.250824928283691 || 12.778400421142578 || False || None
(sqrt(sqrt(sqrt(X))))^5 || 0 || 0.22867092490196228 || 12.204171180725098 || 12.86052131652832 || False || None
(sin(sqrt(sqrt(X))))^5 || 26 || 1.3358221054077148 || 12.181241989135742 || 12.849275588989258 || False || None
(sin(sqrt(X/X)))^5 || 1 || 0.3035820424556732 || 12.039152145385742 || 12.530791282653809 || False || None
(sin(sqrt(sqrt(X))))^5 || 4 || 0.7016916275024414 || 12.05734634399414 || 12.55827522277832 || False || None
(sin(sqrt(X/X)))^5 || 1 || 0.3776860237121582 || 12.160135269165039 || 12.614174842834473 || False || None
(sin(sqrt(sqrt(X))))^5 || 45 || 1.8957544565200806 || 12.127341270446777 || 12.569181442260742 || False || None
(sqrt(sqrt(sqrt(X))))^5 || 0 || 0.29518720507621765 || 12.821775436401367 || 13.256726264953613 || False || None
(sin(sqrt(sqrt(X))))^5 || 0 || 0.3036423921585083 || 12.82229232788086 || 13.291077613830566 || False || None
