Step || Expression || Steps without change || Change Distance|| Complexity || Norm
308 || (C/(C/C-X)^2)/cos(C) || 0 || 0.24352599680423737 || 6 || 4.295749664306641
309 || (C/(X-X)^2)/cos(C) || 0 || 0.2885633111000061 || 5 || 4.360681533813477
312 || (X/(X-X)^2)/cos(C) || 2 || 0.501164436340332 || 5 || 4.383667945861816
315 || (C/(C/C-X)^2)/cos(C) || 2 || 0.5342563986778259 || 6 || 4.3907976150512695
317 || (X/(X/C-X)^2)/cos(C) || 1 || 0.3940565884113312 || 6 || 4.434990882873535
326 || (X/(C/C-X)^2)/cos(C) || 8 || 0.9158116579055786 || 6 || 4.366852283477783
327 || (X/(X/C-X)^2)/X || 0 || 0.37935197353363037 || 5 || 4.268335819244385
329 || (X/(X/C-X)^2)/cos(C) || 1 || 0.3085833191871643 || 6 || 4.416806697845459
330 || (X/(X/C-X)^2)/X || 0 || 0.34472617506980896 || 5 || 4.281994819641113
331 || (X/(C/C-X)^2)/X || 0 || 0.28837135434150696 || 5 || 4.175254821777344
335 || (X/(C/C-X)^2)/cos(C) || 3 || 0.6442172527313232 || 6 || 4.241001129150391
340 || (X/(X/C-X)^2)/cos(C) || 4 || 0.6216604113578796 || 6 || 4.257552146911621
345 || (X/(C/C-X)^2)/cos(C) || 4 || 0.5689991116523743 || 6 || 4.336003303527832
347 || (X/(C/C-X)^2)/cos(C/X) || 1 || 0.3183269500732422 || 7 || 4.527805805206299
348 || (X/(X/C-X)^2)/cos(C) || 0 || 0.29708367586135864 || 6 || 4.572580814361572
349 || (X/(X/C-X)^2)/cos(C/X) || 0 || 0.28396692872047424 || 7 || 4.637959957122803
354 || (X/(C/C-X)^2)/cos(C/X) || 4 || 0.5190995335578918 || 7 || 4.627974987030029
355 || (X/(X/C-X)^2)/cos(C/X) || 0 || 0.3003336191177368 || 7 || 4.790630340576172
356 || (X/(C/C-X)^2)/cos(C/X) || 0 || 0.33145564794540405 || 7 || 4.758840560913086
362 || (X/(X/C-X)^2)/cos(C/X) || 5 || 0.7188519239425659 || 7 || 4.7988972663879395
364 || (X/(X*C-X)^2)/cos(C+X) || 1 || 0.42100781202316284 || 7 || 4.977828025817871
372 || (X/(X*C-X)^2)/cos(C/X) || 7 || 0.6770139932632446 || 7 || 4.991446495056152
375 || (X/((C*C)*C-X)^2)/cos(C/X) || 2 || 0.5395582914352417 || 8 || 4.904805660247803
381 || (X/((C*C)*C-X)^3)/cos(C/X) || 5 || 0.6652434468269348 || 8 || 4.945109844207764
382 || (X/(X*C-X)^3)/cos(C/X) || 0 || 0.26040253043174744 || 7 || 4.819753646850586
383 || (X/((C*C)*C-X)^3)/cos(C/X) || 0 || 0.27760761976242065 || 8 || 4.835319995880127
385 || (X/((C*C)*C-X)^3)/cos(C) || 1 || 0.4622558653354645 || 7 || 4.822996139526367
386 || (X/(X*C-X)^3)/cos(C) || 0 || 0.2773219347000122 || 6 || 4.93253755569458
390 || (X/((C*C)*C-X)^3)/cos(C) || 3 || 0.5712851285934448 || 7 || 5.019536972045898
391 || (X/((X*C)*C-X)^3)/cos(C) || 0 || 0.33524423837661743 || 7 || 5.127006530761719
392 || (X/((X*C)*C-X)^3)/cos(C/X) || 0 || 0.2844565808773041 || 8 || 5.199025630950928
393 || (exp(C)*((X*C)*C-X)^3)/cos(C) || 0 || 0.2400834858417511 || 8 || 5.213958740234375
394 || (X*((X*C)*C-X)^3)/cos(C) || 0 || 0.21852321922779083 || 7 || 5.163197994232178
396 || (X*((X/C)*C-X)^3)/cos(C/X) || 1 || 0.4051690101623535 || 8 || 5.203804016113281
397 || (X*((C/C)*C-X)^3)/cos(C/X) || 0 || 0.2876284122467041 || 8 || 5.204386234283447
401 || (X*((X/C)*C-X)^3)/cos(C/X) || 3 || 0.6306989789009094 || 8 || 5.274345397949219
402 || (X*((X*C)*C-X)^3)/cos(C/X) || 0 || 0.30214452743530273 || 8 || 5.5094499588012695
403 || (X/((X*C)*C-X)^3)/cos(C/X) || 0 || 0.2858308255672455 || 8 || 5.544363021850586
404 || (sqrt(C)/((X*C)*C-X)^3)/cos(C/X) || 0 || 0.27512848377227783 || 9 || 5.563882827758789
405 || (X/((X*C)*C-X)^3)/cos(C/X) || 0 || 0.21963229775428772 || 8 || 5.562382221221924
408 || (X/((X*C)*C-C)^3)/cos(C/X) || 2 || 0.48576268553733826 || 8 || 5.610230445861816
409 || (X/((C*C)*C-C)^3)/cos(C/X) || 0 || 0.2936997711658478 || 8 || 5.647355079650879
412 || (X/((X*C)*C-C)^3)/cos(C+X) || 2 || 0.46196436882019043 || 8 || 5.729391098022461
413 || (X/((C*C)*C-C)^3)/cos(X+X) || 0 || 0.3276534676551819 || 8 || 5.670942306518555
415 || (X/((X*C)*C-C)^3)/cos(X+X) || 1 || 0.31019675731658936 || 8 || 5.766395568847656
418 || (X/((X*C)*C-C)^3)/cos(C+X) || 2 || 0.5127304196357727 || 8 || 5.799404621124268
421 || (X/((X*C)*C-C)^3)/cos(X+X) || 2 || 0.4914554953575134 || 8 || 5.792646884918213
423 || (X/((X*C)*C-C)^3)/cos(C/X) || 1 || 0.37501001358032227 || 8 || 5.686061859130859
424 || (X/((X*C)*C-C)^3)/cos(C/C) || 0 || 0.32343414425849915 || 8 || 5.673985004425049
427 || (sqrt(C)/((X*C)*C-C)^3)/cos(C/C) || 2 || 0.4389329254627228 || 9 || 5.678413391113281
428 || (sqrt(C)/((X*C)*C-X)^3)/cos(C/C) || 0 || 0.29187655448913574 || 9 || 5.867980003356934
430 || (sqrt(C)/((X*C)*C-C)^3)/cos(C/C) || 1 || 0.4630398154258728 || 9 || 5.795262336730957
432 || (exp(C)/((X*C)*C-C)^3)/cos(C/C) || 1 || 0.35390836000442505 || 9 || 5.900355339050293
433 || (exp(C)/((X*C)*C-X)^3)/cos(C/X) || 0 || 0.3568921983242035 || 9 || 5.905701160430908
434 || (exp(C)/((X*C)*C-X)^3)/exp(C/X) || 0 || 0.32840630412101746 || 9 || 5.934975624084473
435 || (exp(C)*((X*C)*C-X)^3)/exp(C/X) || 0 || 0.2955186367034912 || 9 || 6.070901870727539
439 || (exp(C)/((X*C)*C-X)^3)/exp(C/X) || 3 || 0.7228440046310425 || 9 || 6.084652900695801
440 || (exp(C)/(((X*C)*C)*C-X)^3)/exp(C/X) || 0 || 0.280769020318985 || 10 || 6.361562252044678
441 || (exp(C)/(((C*C)*C)*C-C)^3)/exp(C/C) || 0 || 0.28990307450294495 || 10 || 6.329163074493408
442 || (exp(C)/(((C/C)*C)*C-X)^3)/exp(C/X) || 0 || 0.3418146073818207 || 10 || 6.348181247711182
443 || (exp(C)/(((C*C)*C)*C-C)^3)/exp(C/C) || 0 || 0.33664995431900024 || 10 || 6.3960676193237305
447 || (exp(C)/((X*C)*C-C)^3)/exp(C/C) || 3 || 0.4597724378108978 || 9 || 6.447446823120117
448 || (exp(C)/((X*C)*C-X)^3)/log(C/X) || 0 || 0.2792246639728546 || 9 || 6.475895881652832
449 || (exp(C)/((X*C)*C-C)^3)/exp(C/X) || 0 || 0.3213992118835449 || 9 || 6.419673919677734
450 || (log(C)/((X*C)*C-X)^3)/exp(C/X) || 0 || 0.37249696254730225 || 9 || 6.429498672485352
453 || (log(C)/((X*C)*C-X)^3)/log(C/X) || 2 || 0.612845778465271 || 9 || 6.442071437835693
455 || (log(C/X)/((X*C)*C-X)^3)/log(C/X) || 1 || 0.3664073050022125 || 10 || 6.4341278076171875
456 || (log(X)/((X*C)*C-X)^3)/log(C/X) || 0 || 0.23699644207954407 || 9 || 6.473126411437988
459 || (log(C/X)/((X*C)*C-X)^3)/log(C/X) || 2 || 0.49433308839797974 || 10 || 6.4838433265686035
460 || (log(C/(X/C))/((X*C)*C-X)^3)/log(C) || 0 || 0.3075810968875885 || 10 || 6.5315446853637695
461 || (log(C/(X*C))/((X*C)*C-X)^3)/log(C) || 0 || 0.2260996699333191 || 10 || 6.520387172698975
462 || (log(C/(X/C))/((X*C)*C-X)^3)/log(C) || 0 || 0.2526325583457947 || 10 || 6.538685321807861
464 || (log(C/(X*C))/((X*C)*C-X)^3)/log(C) || 1 || 0.3846389949321747 || 10 || 6.5919976234436035
467 || (exp(C/(X*C))/((X*C)*C-X)^3)/log(C) || 2 || 0.45221009850502014 || 10 || 6.578161716461182
475 || (exp(C/(X/C))/((X*C)*C-X)^3)/log(C) || 7 || 0.6447175145149231 || 10 || 6.666016578674316
476 || (exp(C/(X/C))/((X*C)*C-X)^3)/log(C/X) || 0 || 0.2964704632759094 || 11 || 6.749980449676514
477 || (sqrt(C/(X/C))/((X*C)*C-X)^3)/log(C/X) || 0 || 0.2606086730957031 || 11 || 6.721395492553711
479 || (sqrt(C/(X*C))/((X*C)*C-X)^3)/log(C/X) || 1 || 0.3423822224140167 || 11 || 6.728124618530273
480 || (exp(C/(X*C))/((X*C)*C-X)^3)/log(C) || 0 || 0.2488727867603302 || 10 || 6.64237642288208
482 || (exp(C/(X*C))/((X*C)*C-X)^3)/log(C/X) || 1 || 0.4361374080181122 || 11 || 6.70574951171875
483 || (sqrt(C/(X*C))/((X*C)*C-X)^3)/log(C/X) || 0 || 0.3183246850967407 || 11 || 6.683815002441406
484 || (sqrt(C/(X*C))/((X*C)*C-X)^3)/cos(C/X) || 0 || 0.279577374458313 || 11 || 6.657849311828613
489 || (log(C/(X*C))/((X*C)*C-X)^3)/cos(C/X) || 4 || 0.6799926161766052 || 11 || 6.645522594451904
491 || (log(C/(X*C))/((X*C)*C-X)^3)/cos(C) || 1 || 0.37910500168800354 || 10 || 6.759228706359863
497 || (exp(C/(X*C))/((X*C)*C-X)^3)/cos(C) || 5 || 0.6804169416427612 || 10 || 6.847988605499268
499 || (log(C/(X*C))/((X*C)*C-X)^3)/X || 1 || 0.38298699259757996 || 9 || 6.815690517425537
500 || (exp(C/(X*C))/((X*C)*C-X)^3)/X || 0 || 0.2772442698478699 || 9 || 6.809932231903076
503 || (exp(C+X*C)/((X*C)*C-X)^3)/X || 2 || 0.48351579904556274 || 9 || 6.785009860992432
506 || (log(X+X*C)/((X*C)*C-X)^3)/X || 2 || 0.46231892704963684 || 9 || 6.873768329620361
507 || (log(X/(X*C))/((X*C)*C-X)^3)/cos(C) || 0 || 0.2875538170337677 || 10 || 7.015671730041504
510 || (log(X/(X*C))/(((C*C)*C)*C-X)^3)/cos(C) || 2 || 0.5299783945083618 || 11 || 7.068009376525879
511 || (log(X+X*C)/(((X*C)*C)*C-X)^3)/cos(C) || 0 || 0.30475375056266785 || 11 || 7.133275032043457
513 || (log(X/(X*C))/(((X*C)*C)*C-X)^3)/cos(C) || 1 || 0.43440040946006775 || 11 || 7.073009490966797
514 || (log(X-X*C)/(((X*C)*C)*C-X)^3)/cos(C) || 0 || 0.23891334235668182 || 11 || 7.222472667694092
515 || (log(X/X)/(((X*C)*C)*C-X)^3)/cos(C) || 0 || 0.3107241690158844 || 10 || 7.255482196807861
516 || (log(X-X)/(((X*C)*C)*C-X)^3)/cos(C) || 0 || 0.26298969984054565 || 10 || 7.333162784576416
522 || (log(X-X*C)/(((X*C)*C)*C-X)^3)/cos(C/X) || 5 || 0.7433848977088928 || 12 || 7.380297660827637
523 || (log(X-X)/(((X*C)*C)*C-X)^3)/cos(C/X) || 0 || 0.2522585988044739 || 11 || 7.559440612792969
525 || (log(X-X*C)/(((X*C)*C)*C-X)^3)/cos(C/X) || 1 || 0.4255938231945038 || 12 || 7.593964099884033
526 || (log(X-X)/(((X*C)*C)*C-X)^3)/cos(C/X) || 0 || 0.2727506756782532 || 11 || 7.721498489379883
